ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
8980076792,IB-058=REINFORMENT ASSIST SEAT BACK OUT,IPPI,"[0, 0, 2505]",600,JSH270C T. 2.6 X 1340 X 920,"[{""process_name"": ""Forming"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Trim, Pier"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}]",600
8980191822,IB-057=REINFORMENT ASSIST SEATBACK INR,IPPI,"[0, 1067]",600,SHGA270C T. 2.6 X 177 X 1170,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Bend, Form"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
8980230981,IB-020=REINFORMENT DASH SIDE RH,IPPI,"[0, 0, 0]",600,JAC270C T. 1.2 X 1290 X 160,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}]",1200
8980230991,IB-021=REINFORMENT DASH SIDE RH,IPPI,"[0, 0, 0]",600,JAC270C T.1.2 X 1219 X 160,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}]",1200
8980384280,IF-029=BRACKET SEAT CUSHION,IPPI,[2437],600,SS400 T. 3.2 X 1150 X 34,"[{""process_name"": ""Blank, Pier"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
8980412320,IB-031=STIFFENER FLOOR RR CTR,IPPI,"[0, 1033]",600,SPC270C T. 0.70 X 147 X 1219,"[{""process_name"": ""Forming"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Trim, Pier"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
8980417310,IB-071=RENFORMENT RR PLR INR GRIP LWR RH,IPPI,"[0, 776]",600,SPHC-PO T 2.0 X 1400 X 75,"[{""process_name"": ""Blank"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}, {""process_name"": ""Bending"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75]}]",1200
8980417320,IB-072=REINFORMENT RR PLR INRGRIP LWR LH,IPPI,"[0, 776]",600,SPHC-PO T 2.0 X 1400 X 75,"[{""process_name"": ""Blank"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}, {""process_name"": ""Bending"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75]}]",1200
8980438890,IB-048=BRKT HEAD LAMP SIDE UPER R,IPPI,"[0, 0, 532]",600,SPHC T. 1.6 X 870 X 690 ,"[{""process_name"": ""Forming"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Trim, Pier"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Restrike"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",600
B1912-BZ010,G-027=PLATE LOWER RAIL INNER NO.1,IPPI,[0],,SPC70C T. 1.2 X 80 X 1190 ,,
