ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
4S18ACR1111L,BACK PLATE SC 175L,SAI,"[0, 0]",250,SGCC T. 0.23 X 555 X 1049.4,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4S21ACR1111L,BACK PLATE SC 210L,SAI,"[0, 0]",250,SGCC T. 0.23 X 555 X 1229.4,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4S21ACR1112L,BOTTOM PLATE SAS SC,SAI,"[0, 0]",10,SGCC T. 0.23 X 500 X 522.1,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}, {""process_name"": ""Bending"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}]",500
4S21ACR1125L,BOTTOM PLATE L SC,SAI,"[0, 0]",10,SGCC T. 0.23 X 278 X 536.8,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}]",500
4S21ACR1128L,BOTTOM PLATE R SC,SAI,"[0, 0]",10,SGCC T. 0.23 X 278 X 536.8,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}]",500
4S26ACR1111L,BACK PLATE SC 260 L,SAI,"[0, 250]",200,SGCC T. 0.23 X 555 X 1479.4,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
51988-VTO20,"RETAINER, SPARE WHEEL MOUNTING",MMI,"[0, 167]",600,SCGA270D-45 T. 1.00 X 125 X 435,"[{""process_name"": ""Blank"", ""tonnage_std"": 200, ""tonnage_alternatives"": [350, 160]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [160]}]",400
51996-BZ010,RCS-008=HANGER EXTHAUSE PIPE,IPPI,"[0, 6665]",1000,SS400 D.10.00 X 1200,"[{""process_name"": ""Cutting"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Bending"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}]",1200
51996-BZ030,XP-0039=HANGER EXHAUST PIPE No 4 RR,IPPI,"[0, 0, 5843]",1000,SS400 D.10.00 X 1000,"[{""process_name"": ""Cutting"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Bending 1"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75, 110, 150]}, {""process_name"": ""Bending 2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
55328-BZ040,BRACKET PATCH INSTRUMENT UPR LH - OHP,DPM,[2310],1200,SPHC-P T. 2.00 X 98 X COIL,"[{""process_name"": ""Progressive"", ""tonnage_std"": 200, ""tonnage_alternatives"": []}]",1800
55381-BZ010,BRACKET FINISH PANEL MOUNTING - OHP,DPM,[2775],1200,SPHC-P T. 2.00 X 164 X COIL,"[{""process_name"": ""Progressive"", ""tonnage_std"": 200, ""tonnage_alternatives"": []}]",1800
55382-BZ100,"BRACKET FINISH PANEL MTG, NO 2",DPM,[302],1000,SPC440 T. 1.40 X 152 X COIL,"[{""process_name"": ""Progressive"", ""tonnage_std"": 200, ""tonnage_alternatives"": []}]",1600
55718-VTO20,"BRACKET, COWL TOP OUTER PANEL, NO.1 RH",MMI,"[0, 318]",600,SCGA270D-45 T. 1.00 X 223 X 531,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150, 200]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [160, 150, 110]}]",800
55718-VTO30,"BRACKET, COWL TOP OUTER PANEL, NO.1 LH",MMI,"[0, 859]",600,SCGA270D-45 T. 1.00 X 223 X 531,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150, 200]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [160, 150, 110]}]",800
55725-VTO20,"FR PANEL UPR REINFORCEMENT, RH",MMI,"[0, 835]",600,SCGA270D-45 T. 0.75 X 128 X 408,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150, 200]}, {""process_name"": ""Bending"", ""tonnage_std"": 150, ""tonnage_alternatives"": [160, 200, 110]}]",1200
55795-VTO20,BRACKET WIPER MOUNTING NO 3 ( C ),MMI,"[0, 490]",600,SCGA270D-45 T. 0.70 X 154 X 135,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150, 200]}, {""process_name"": ""Bending"", ""tonnage_std"": 150, ""tonnage_alternatives"": [160, 200, 110]}]",400
55795-VTO30,BRACKET WIPER MOUNTING NO 3 ( CL ),MMI,"[0, 306]",600,SCGA270D-45 T. 0.70 X 154 X 135,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [110, 150, 200]}, {""process_name"": ""Bending"", ""tonnage_std"": 150, ""tonnage_alternatives"": [160, 200, 110]}]",400
58361-VT020,HEAD JACK BRACKET,MMI,"[0, 0, 0, 0, 0, 1452]",600,SCGA440-45A T. 1.00 X 378 X 182,"[{""process_name"": ""Blank"", ""tonnage_std"": 200, ""tonnage_alternatives"": [160]}, {""process_name"": ""Draw"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Triming"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Flange"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Piercing"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}]",600
61911-BZ010,G-026=PLATE LOWER RAIL INNER NO.1,IPPI,,,SPC70C T. 1.2 X 80 X 1190 ,,
64314-3K6A-K006-H1,"BHD RH, RR INNER UP",DPM,"[0, 0, 0, 573]",600,JSC270C T. 1.00 X 145 X 200,"[{""process_name"": ""Draw"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Triming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75, 110]}]",1000
64314-3K6A-K006-H1-EXP,"BHD RH, RR INNER UP - SUB EXPORT",DPM,"[0, 0, 0, 0]",600,JSC270C T. 1.00 X 145 X 200,"[{""process_name"": ""Draw"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Triming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75, 110]}]",1000
64714-3K6A-K002-H1,"BHD LH, RR INNER UP",DPM,"[0, 0, 0, 1379]",600,JSC270C T. 1.00 X 145 X 200,"[{""process_name"": ""Draw"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Triming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75, 110]}]",1000
64714-3K6A-K002-H1-EXP,"BHD LH, RR INNER UP - SUB EXPORT",DPM,"[0, 0, 0, 0]",600,JSC270C T. 1.00 X 145 X 200,"[{""process_name"": ""Draw"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Restrike"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Triming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75, 110]}]",1000
77168-TG4D-T001-H1,"BRACKET, SUB RELAY BOX B - TG4",DPM,[2087],1000,JSH270C T. 3.2 X 120 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}]",1000
77169-T86A-P000-H1,"BRKT, HARNESS INST CTR LWR",DPM,"[0, 0, 1729]",1000,JSC270C T. 1.20 X 78 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [55]}, {""process_name"": ""Bending 1,2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [55]}, {""process_name"": ""Piercing 1,2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [55]}]",800
77169-TSA-K000-H1,"BRACKET, FR ANTENNA REINFORCE - TG4",DPM,"[0, 2683]",1000,SPC270C T. 1.2 X 68 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 160]}, {""process_name"": ""Bending"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
77171-T86A-P000-H1,"HOLDER UPR, RR STRG HANGER",DPM,"[0, 0, 0, 0, 777]",1000,JSC270C T. 1.20 X 200 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Form, Bend"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bend, Flange"", ""tonnage_std"": 150, ""tonnage_alternatives"": [75, 110]}, {""process_name"": ""Restrike"", ""tonnage_std"": 110, ""tonnage_alternatives"": [75, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 75, ""tonnage_alternatives"": [55, 110]}]",800
