Nama Part,Nama Material,Stok terkini (sheet),BQ,Qty-FP
IB-028=BRACKET DR SEAT FTR OTR,JSH270C T. 1.4 X 680 X 230,267,9,2403
IB-073=REINFORMENT TILT HANDLE,JAC270C-45/45 T. 1.2 X 1290 X 140,0,9,0
IB-074=STIFFENER FRAME RR SIDE,JAC270C -45/45 T.1.6 X 1340 X 900,148,33,4884
IB-069=EXTENSION RR PLR INR LWR,JAC270C 45/45 T. 0.8 X 290 X 290,180,2,360
IB-070=BRACKET RETRACTOR,SPHC-PO T. 1.6 X 135 X 1114,69,19,1311
IB-033=BRACKET FRONT COVER,SPC270C T. 1 X 69 X 270,180,27,4860
IB-019=REINFORMENT WIPER MOTOR,JSH270C T. 2.0 X 1630 X 200,0,6,0
IB-058=REINFORMENT ASSIST SEAT BACK OUT,JSH270C T. 2.6 X 1340 X 920,0,1,0
IB-057=REINFORMENT ASSIST SEATBACK INR,SHGA270C T. 2.6 X 177 X 1170,0,13,0
IB-020=REINFORMENT DASH SIDE RH,JAC270C T. 1.2 X 1290 X 160,140,19,2660
IB-021=REINFORMENT DASH SIDE RH,JAC270C T.1.2 X 1219 X 160,0,19,0
IF-029=BRACKET SEAT CUSHION,SS400 T. 3.2 X 1150 X 34,0,20,0
IB-031=STIFFENER FLOOR RR CTR,SPC270C T. 0.70 X 147 X 1219,676,1,676
IB-071=RENFORMENT RR PLR INR GRIP LWR RH,SPHC-PO T 2.0 X 1400 X 75,100,9,900
IB-072=REINFORMENT RR PLR INRGRIP LWR LH,SPHC-PO T 2.0 X 1400 X 75,0,9,0
IB-048=BRKT HEAD LAMP SIDE UPER R,SPHC T. 1.6 X 870 X 690 ,0,1,0
G-027=PLATE LOWER RAIL INNER NO.1,SPC70C T. 1.2 X 80 X 1190 ,0,,0
D-138-BRACKET,,0,,0
D-126-BRACKET,SPCC T 1.6 X 611 X 1219 ,0,,0
D-129-BRACKET,SPCC T 1.6 X 565 X 1219,0,,0
D-136-BRACKET,SPCC T 1.6 X 565 X 1219,0,,0
D-137-BRACKET,SPCC T 1.6 X 735.5 X 1219,0,,0
D-138-BRACKET,SPCC T 1.6 X 735.5 X 1219,0,,0
D-143-BRACKET,SPCC T 1.6 X 671 X 1219,0,,0
D-145-BRACKET,SPCC T 1.6 X 735.5 X 1219,0,,0
D-146-BRACKET,SPCC T 1.6 X 640 X 1219,0,,0
D-147-BRACKET,SPCC T 1.6 X 640 X 1219,0,,0
"AE-0096=BRACKET, FR SEAT, OUTSIDE UPR RH",SPC440 T. 1.00 X 217 X 1200,4278,8,34224
"XP-0080=BRACKET, FR SEAT, OUTSIDE UPR RH",SPC440 T. 1.00 X 277 X 1219,600,11,6600
"AE-0097=BRACKET, FR SEAT, OUTSIDE UPR LH",SPC440 T. 1.00 X 217 X 1200,4278,8,34224
"XP-0081=BRACKET, FR SEAT, OUTSIDE UPR LH",SPC440 T. 1.00 X 277 X 1219,600,11,6600
"XP-0083=RTR, FLR MEMBER REINFORCEMENT",SPC440 T. 1.60 X 45 X 610,800,18,14400
"XP-0084=PATCH, FR FLOOR,RR",SCGA270C-45 T. 1.40 X 384 X 1219,1600,6,9600
"XP-0117=REINFORCE,RR DR LOCK STRIKER,RH",SPC270C T. 0.70 X 147 X 1219,800,9,7200
"XP-0118=REINFORCE,RR DR LOCK STRIKER,LH",SPC270C T. 0.70 X 147 X 1219,800,9,7200
IB-005=BRACKET ROOF LINING,JSC270C 0.8 X 133 X 1480 ,200,,0
"IB-013=BRACKET FRT PNL, LWR",JAC270C-45/45 T. 1.2 X 310 X 1290,180,,0
IB-017=REINFORMENT WIPER PIVTCTR,SPHC-PO T.2.0 X 175 X 1400,0,11,0
IB-018=REINFORMENT WIPER PIVTSIDE,SPHC-PO T.2.0 X 175 X 1400,0,10,0
PH-057 = BHRACKET RADIATOR,SPHC-PC T. 3.2 X 70 X 660 ,0,,0
IF-016 = BRKT HORN ,SS400 T. 3.2 X 120 X 646,0,,0
KL98 FIXING CLIPS KL 98 OPTIMA,GALVANIZED T. 1.2 X 150 X 13,1280,0.05,25600
KL98 FIXING CLIPS KL 98 OPTIMA,ZACS T. 0.6 X 45 X 700,1512,0.15,10080
